MCC,MNC,Brand
404,1,Vodafone India
404,2,AirTel
404,3,AirTel
404,4,IDEA
404,5,Vodafone India
404,7,IDEA
404,9,Reliance
404,10,AirTel
404,11,Vodafone India
404,12,IDEA
404,13,Vodafone India
404,14,IDEA
404,15,Vodafone India
404,16,Airtel
404,17,AIRCEL
404,18,Reliance
404,19,IDEA
404,20,Vodafone India
404,21,Loop Mobile
404,22,IDEA
404,24,IDEA
404,25,AIRCEL
404,27,Vodafone India
404,28,AIRCEL
404,29,AIRCEL
404,30,Vodafone India
404,31,AirTel
404,34,cellone
404,36,Reliance
404,37,Aircel
404,38,cellone
404,40,AirTel
404,41,Aircel
404,42,Aircel
404,43,Vodafone India
404,44,IDEA
404,45,Airtel
404,46,Vodafone India
404,49,Airtel
404,50,Reliance
404,51,cellone
404,52,Reliance
404,53,cellone
404,54,cellone
404,55,cellone
404,56,IDEA
404,57,cellone
404,58,cellone
404,59,cellone
404,60,Vodafone India
404,62,cellone
404,64,cellone
404,66,cellone
404,67,Reliance
404,68,DOLPHIN
404,69,DOLPHIN
404,70,AirTel
404,71,cellone
404,72,cellone
404,73,cellone
404,74,cellone
404,75,cellone
404,76,cellone
404,77,cellone
404,78,IDEA
404,79,cellone
404,80,cellone
404,81,cellone
404,82,IDEA
404,83,Reliance
404,84,Vodafone India
404,85,Reliance
404,86,Vodafone India
404,87,IDEA
404,88,Vodafone India
404,89,IDEA
404,90,AirTel
404,91,AIRCEL
404,92,AirTel
404,93,AirTel
404,94,AirTel
404,95,AirTel
404,96,AirTel
404,97,AirTel
404,98,AirTel
405,1,Reliance
405,25,TATA DOCOMO
405,26,TATA DOCOMO
405,27,TATA DOCOMO
405,28,TATA DOCOMO
405,29,TATA DOCOMO
405,3,Reliance
405,30,TATA DOCOMO
405,31,TATA DOCOMO
405,32,TATA DOCOMO
405,33,TATA DOCOMO
405,34,TATA DOCOMO
405,35,TATA DOCOMO
405,36,TATA DOCOMO
405,37,TATA DOCOMO
405,38,TATA DOCOMO
405,39,TATA DOCOMO
405,4,Reliance
405,41,TATA DOCOMO
405,42,TATA DOCOMO
405,43,TATA DOCOMO
405,44,TATA DOCOMO
405,45,TATA DOCOMO
405,46,TATA DOCOMO
405,47,TATA DOCOMO
405,5,Reliance
405,6,Reliance
405,7,Reliance
405,8,Reliance
405,9,Reliance
405,10,Reliance
405,11,Reliance
405,12,Reliance
405,13,Reliance
405,14,Reliance
405,15,Reliance
405,17,Reliance
405,18,Reliance
405,19,Reliance
405,20,Reliance
405,21,Reliance
405,22,Reliance
405,23,Reliance
405,51,AirTel
405,52,AirTel
405,53,AirTel
405,54,AirTel
405,55,Airtel
405,56,AirTel
405,66,Vodafone India
405,67,Vodafone India
405,70,IDEA
405,750,Vodafone India
405,751,Vodafone India
405,752,Vodafone India
405,753,Vodafone India
405,754,Vodafone India
405,755,Vodafone India
405,756,Vodafone India
405,799,IDEA
405,800,AIRCEL
405,801,AIRCEL
405,802,AIRCEL
405,803,AIRCEL
405,804,AIRCEL
405,805,AIRCEL
405,806,AIRCEL
405,807,AIRCEL
405,808,AIRCEL
405,809,AIRCEL
405,810,AIRCEL
405,811,AIRCEL
405,812,AIRCEL
405,819,Uninor
405,818,Uninor
405,820,Uninor
405,821,Uninor
405,822,Uninor
405,824,Videocon Datacom
405,827,Videocon Datacom
405,834,Videocon Datacom
405,844,Uninor
405,840,Jio
405,845,IDEA
405,846,IDEA
405,847,IDEA
405,848,IDEA
405,849,IDEA
405,850,IDEA
405,851,IDEA
405,852,IDEA
405,853,IDEA
405,854,Jio
405,855,Jio
405,856,Jio
405,857,Jio
405,858,Jio
405,859,Jio
405,860,Jio
405,861,Jio
405,862,Jio
405,863,Jio
405,864,Jio
405,865,Jio
405,866,Jio
405,867,Jio
405,868,Jio
405,869,Jio
405,870,Jio
405,871,Jio
405,872,Jio
405,873,Jio
405,874,Jio
405,875,Uninor
405,880,Uninor