Build,Version,Name,Sdk
OPR6.170623.017,8.0.0,Oreo,26
OPR4.170623.006,8.0.0,Oreo,26
OPR3.170623.007,8.0.0,Oreo,26
OPR1.170623.026,8.0.0,Oreo,26
OPR6.170623.013,8.0.0,Oreo,26
OPR6.170623.012,8.0.0,Oreo,26
OPR6.170623.011,8.0.0,Oreo,26
OPR6.170623.010,8.0.0,Oreo,26
NZH54D,7.1.2,Nougat,25
NKG47S,7.1.2,Nougat,25
NHG47Q,7.1.2,Nougat,25
NJH47F,7.1.2,Nougat,25
N2G48C,7.1.2,Nougat,25
NZH54B,7.1.2,Nougat,25
NKG47M,7.1.2,Nougat,25
NJH47D,7.1.2,Nougat,25
NHG47O,7.1.2,Nougat,25
N2G48B,7.1.2,Nougat,25
N2G47Z,7.1.2,Nougat,25
NJH47B,7.1.2,Nougat,25
NJH34C,7.1.2,Nougat,25
NKG47L,7.1.2,Nougat,25
NHG47N,7.1.2,Nougat,25
N2G47X,7.1.2,Nougat,25
N2G47W,7.1.2,Nougat,25
NHG47L,7.1.2,Nougat,25
N2G47T,7.1.2,Nougat,25
N2G47R,7.1.2,Nougat,25
N2G47O,7.1.2,Nougat,25
NHG47K,7.1.2,Nougat,25
N2G47J,7.1.2,Nougat,25
N2G47H,7.1.2,Nougat,25
N2G47F,7.1.2,Nougat,25
N2G47E,7.1.2,Nougat,25
N2G47D,7.1.2,Nougat,25
N9F27L,7.1.1,Nougat,25
NGI55D,7.1.1,Nougat,25
N4F27O,7.1.1,Nougat,25
N8I11B,7.1.1,Nougat,25
N9F27H,7.1.1,Nougat,25
N6F27I,7.1.1,Nougat,25
N4F27K,7.1.1,Nougat,25
N9F27F,7.1.1,Nougat,25
N6F27H,7.1.1,Nougat,25
N4F27I,7.1.1,Nougat,25
N9F27C,7.1.1,Nougat,25
N6F27E,7.1.1,Nougat,25
N4F27E,7.1.1,Nougat,25
N6F27C,7.1.1,Nougat,25
N4F27B,7.1.1,Nougat,25
N6F26Y,7.1.1,Nougat,25
NOF27D,7.1.1,Nougat,25
N4F26X,7.1.1,Nougat,25
N4F26U,7.1.1,Nougat,25
N6F26U,7.1.1,Nougat,25
NUF26N,7.1.1,Nougat,25
NOF27C,7.1.1,Nougat,25
NOF27B,7.1.1,Nougat,25
N4F26T,7.1.1,Nougat,25
NMF27D,7.1.1,Nougat,25
NMF26X,7.1.1,Nougat,25
NOF26W,7.1.1,Nougat,25
NOF26V,7.1.1,Nougat,25
N6F26R,7.1.1,Nougat,25
NUF26K,7.1.1,Nougat,25
N4F26Q,7.1.1,Nougat,25
N4F26O,7.1.1,Nougat,25
N6F26Q,7.1.1,Nougat,25
N4F26M,7.1.1,Nougat,25
N4F26J,7.1.1,Nougat,25
N4F26I,7.1.1,Nougat,25
NMF26V,7.1.1,Nougat,25
NMF26U,7.1.1,Nougat,25
NMF26R,7.1.1,Nougat,25
NMF26Q,7.1.1,Nougat,25
NMF26O,7.1.1,Nougat,25
NMF26J,7.1.1,Nougat,25
NMF26H,7.1.1,Nougat,25
NMF26F,7.1.1,Nougat,25
NDE63X,7.1.0,Nougat,25
NDE63V,7.1.0,Nougat,25
NDE63U,7.1.0,Nougat,25
NDE63P,7.1.0,Nougat,25
NDE63L,7.1.0,Nougat,25
NDE63H,7.1.0,Nougat,25
NBD92G,7.0.0,Nougat,24
NBD92F,7.0.0,Nougat,24
NBD92E,7.0.0,Nougat,24
NBD92D,7.0.0,Nougat,24
NBD91Z,7.0.0,Nougat,24
NBD91Y,7.0.0,Nougat,24
NBD91X,7.0.0,Nougat,24
NBD91U,7.0.0,Nougat,24
N5D91L,7.0.0,Nougat,24
NBD91P,7.0.0,Nougat,24
NRD91K,7.0.0,Nougat,24
NRD91N,7.0.0,Nougat,24
NBD90Z,7.0.0,Nougat,24
NBD90X,7.0.0,Nougat,24
NBD90W,7.0.0,Nougat,24
NRD91D,7.0.0,Nougat,24
NRD90U,7.0.0,Nougat,24
NRD90T,7.0.0,Nougat,24
NRD90S,7.0.0,Nougat,24
NRD90R,7.0.0,Nougat,24
NRD90M,7.0.0,Nougat,24
MOB31Z,6.0.1,Marshmallow,23
MOB31T,6.0.1,Marshmallow,23
MOB31S,6.0.1,Marshmallow,23
M4B30Z,6.0.1,Marshmallow,23
MOB31K,6.0.1,Marshmallow,23
MMB31C,6.0.1,Marshmallow,23
M4B30X,6.0.1,Marshmallow,23
MOB31H,6.0.1,Marshmallow,23
MMB30Y,6.0.1,Marshmallow,23
MTC20K,6.0.1,Marshmallow,23
MOB31E,6.0.1,Marshmallow,23
MMB30W,6.0.1,Marshmallow,23
MXC89L,6.0.1,Marshmallow,23
MTC20F,6.0.1,Marshmallow,23
MOB30Y,6.0.1,Marshmallow,23
MOB30X,6.0.1,Marshmallow,23
MOB30W,6.0.1,Marshmallow,23
MMB30S,6.0.1,Marshmallow,23
MMB30R,6.0.1,Marshmallow,23
MXC89K,6.0.1,Marshmallow,23
MTC19Z,6.0.1,Marshmallow,23
MTC19X,6.0.1,Marshmallow,23
MOB30P,6.0.1,Marshmallow,23
MOB30O,6.0.1,Marshmallow,23
MMB30M,6.0.1,Marshmallow,23
MMB30K,6.0.1,Marshmallow,23
MOB30M,6.0.1,Marshmallow,23
MTC19V,6.0.1,Marshmallow,23
MOB30J,6.0.1,Marshmallow,23
MOB30I,6.0.1,Marshmallow,23
MOB30H,6.0.1,Marshmallow,23
MOB30G,6.0.1,Marshmallow,23
MXC89H,6.0.1,Marshmallow,23
MXC89F,6.0.1,Marshmallow,23
MMB30J,6.0.1,Marshmallow,23
MTC19T,6.0.1,Marshmallow,23
M5C14J,6.0.1,Marshmallow,23
MOB30D,6.0.1,Marshmallow,23
MHC19Q,6.0.1,Marshmallow,23
MHC19J,6.0.1,Marshmallow,23
MHC19I,6.0.1,Marshmallow,23
MMB29X,6.0.1,Marshmallow,23
MXC14G,6.0.1,Marshmallow,23
MMB29V,6.0.1,Marshmallow,23
MXB48T,6.0.1,Marshmallow,23
MMB29U,6.0.1,Marshmallow,23
MMB29R,6.0.1,Marshmallow,23
MMB29Q,6.0.1,Marshmallow,23
MMB29T,6.0.1,Marshmallow,23
MMB29S,6.0.1,Marshmallow,23
MMB29P,6.0.1,Marshmallow,23
MMB29O,6.0.1,Marshmallow,23
MXB48K,6.0.1,Marshmallow,23
MXB48J,6.0.1,Marshmallow,23
MMB29M,6.0.1,Marshmallow,23
MMB29K,6.0.1,Marshmallow,23
MMB29N,6.0.0,Marshmallow,23
MDB08M,6.0.0,Marshmallow,23
MDB08L,6.0.0,Marshmallow,23
MDB08K,6.0.0,Marshmallow,23
MDB08I,6.0.0,Marshmallow,23
MDA89E,6.0.0,Marshmallow,23
MDA89D,6.0.0,Marshmallow,23
MRA59B,6.0.0,Marshmallow,23
MRA58X,6.0.0,Marshmallow,23
MRA58V,6.0.0,Marshmallow,23
MRA58U,6.0.0,Marshmallow,23
MRA58N,6.0.0,Marshmallow,23
MRA58K,6.0.0,Marshmallow,23
LMY49M,5.1.1,Lollipop,22
LMY49J,5.1.1,Lollipop,22
LMY49I,5.1.1,Lollipop,22
LMY49H,5.1.1,Lollipop,22
LMY49G,5.1.1,Lollipop,22
LMY49F,5.1.1,Lollipop,22
LMY48Z,5.1.1,Lollipop,22
LYZ28N,5.1.1,Lollipop,22
LMY48Y,5.1.1,Lollipop,22
LMY48X,5.1.1,Lollipop,22
LMY48W,5.1.1,Lollipop,22
LVY48H,5.1.1,Lollipop,22
LYZ28M,5.1.1,Lollipop,22
LMY48U,5.1.1,Lollipop,22
LMY48T,5.1.1,Lollipop,22
LVY48F,5.1.1,Lollipop,22
LYZ28K,5.1.1,Lollipop,22
LMY48P,5.1.1,Lollipop,22
LMY48N,5.1.1,Lollipop,22
LMY48M,5.1.1,Lollipop,22
LVY48E,5.1.1,Lollipop,22
LYZ28J,5.1.1,Lollipop,22
LMY48J,5.1.1,Lollipop,22
LMY48I,5.1.1,Lollipop,22
LVY48C,5.1.1,Lollipop,22
LMY48G,5.1.1,Lollipop,22
LYZ28E,5.1.1,Lollipop,22
LMY47Z,5.1.1,Lollipop,22
LMY48B,5.1.1,Lollipop,22
LMY47X,5.1.1,Lollipop,22
LMY47V,5.1.1,Lollipop,22
LMY47O,5.1.0,Lollipop,22
LMY47M,5.1.0,Lollipop,22
LMY47I,5.1.0,Lollipop,22
LMY47E,5.1.0,Lollipop,22
LMY47D,5.1.0,Lollipop,22
LRX22L,5.0.2,Lollipop,21
LRX22G,5.0.2,Lollipop,21
LRX22C,5.0.1,Lollipop,21
LRX21V,5.0.0,Lollipop,21
LRX21T,5.0.0,Lollipop,21
LRX21R,5.0.0,Lollipop,21
LRX21Q,5.0.0,Lollipop,21
LRX21P,5.0.0,Lollipop,21
LRX21O,5.0.0,Lollipop,21
LRX21M,5.0.0,Lollipop,21
LRX21L,5.0.0,Lollipop,21
